"Story","Title","Result","Date","Stability","Duration (s)"
"Calculate number by keyword story","Subtract","SUCCESS","2020-05-11T22:07:32.151+07:00[Asia/Bangkok]","0.0","15.46"
"Calculate number by keyword story","Addition","SUCCESS","2020-05-11T22:07:48.13+07:00[Asia/Bangkok]","0.0","10.14"
"Calculate number by keyword story","Multiply","SUCCESS","2020-05-11T22:07:58.395+07:00[Asia/Bangkok]","0.0","9.71"
"Calculate number by keyword story","Divide","SUCCESS","2020-05-11T22:08:08.22+07:00[Asia/Bangkok]","0.0","9.11"
