"Story","Title","Result","Date","Stability","Duration (s)"
"Calculate number by keyword story","Subtract","FAILURE","2020-05-11T16:28:20.774+07:00[Asia/Bangkok]","0.0","22.4"
"Calculate number by keyword story","Addition","ERROR","2020-05-11T16:28:44.095+07:00[Asia/Bangkok]","0.0","11.76"
"Calculate number by keyword story","Multiply","FAILURE","2020-05-11T16:28:56.042+07:00[Asia/Bangkok]","0.0","18.03"
"Calculate number by keyword story","Divide","FAILURE","2020-05-11T16:29:14.201+07:00[Asia/Bangkok]","0.0","17.28"
"Calculate number by keyword story","Subtract","ERROR","2020-05-07T22:40:09.8646138+07:00[Asia/Bangkok]","0.0","4.5"
"Calculate number by keyword story","Addition","ERROR","2020-05-07T22:47:02.7233505+07:00[Asia/Bangkok]","0.0","4.51"
